Season,EpisodeNo,AirDate,Writers,Director,SEID,tconst,Title,EpiNo_Netflix,runtimeMinutes,numVotes,averageRating,Description,Summaries,keyWords
4,10,"November 11, 1992",Peter Mehlman,Tom Cherones,S04E10,tt0697804,The Virgin,9,23.0,3415,8.1,Jerry finds out that the girl he likes is still a virgin; George wants to end his relationship with Susan to exploit his writing profession as a pick-up line.,"[""Not having come up for a script for their new sitcom, George and Jerry now have to face the music when they meet with NBC executives. George's lack of discretion however has repercussions. Jerry see Marla Penny in a bar and mentions to George that when he last saw her, she was a virgin. Jerry asks her out and finds out she still is. Elaine, on hearing the news, decides to give her a bit of coaching about men and what she can expect.—garykmcd"", 'After much procrastination, George and Jerry strain to think of an idea for their TV series a few hours before a meeting with NBC executives. Jerry finds out his girlfriend is still a virgin, and later Elaine educates her about men and sex.—Anonymous']","['kiss', 'kissing in public', 'fired from a job', 'reference to david letterman', 'chinese takeout', 'closet', 'diaphragm', 'irony', 'introduction']"
4,11,"November 18, 1992",Larry David,Tom Cherones,S04E11,tt0697679,The Contest,10,23.0,8320,9.6,George's mother throws her back out when she falls down after catching George performing a personal act; the gang partakes in a contest of self-denial.,"[""After George's mother catches him alone in a somewhat embarrassing situation, Jerry, George, Elaine and Kramer stage a contest to see who can last the longest without any sexual gratification. Temptation quickly sets in for everyone. Kramer is the first to fall after ogling the woman across the street who walks around her apartment naked. George is next after he visits his mother in hospital and her roommate gets a sponge bath across from the curtain separating them. Elaine signs up for a fitness class where none other than JFK Jr. is enrolled. Her fantasizing does the rest. Finally, Jerry's new girlfriend Marla decides it's time to lose her virginity but Jerry has to explain the contest.—garykmcd"", 'Jerry challenges George, Kramer and Elaine to pool their money in a contest of self-denial. Meanwhile, an excited Elaine looks forward to her date with hunky John Kennedy Jr., and a guilt-ridden George gets an eyeful when he visits his whining mother in the hospital.—Jwelch5742', ""After George is caught masturbating by his mother, the four main characters devise a contest to see who can go the longest without pleasuring him/herself. Marla, Jerry's girlfriend, with whom he has yet to have sex, learns of the contest and is disgusted.—Anonymous"", 'While eating at Monk\'s coffee shop, Jerry, Kramer and Elaine are met by an upset George. George shares with them that he was at his parent\'s house and found a fashion magazine in their mail. George began to masturbate using the magazine when he mother came home and found him in the act. Surprised at her son\'s indiscretion, Estelle slips and falls, injuring her back. She winds up in the hospital in traction.George tells his friends that he\'s vowed never to gratify himself ever again. The gang scoffs at the declaration. When George scoffs at Jerry\'s logic that it\'s impossible, Jerry claims he could last longer than George. A wager ensues and Kramer and Elaine want in too. When Jerry, George and Kramer say that self-gratification is ""different for a woman"", Elaine says it isn\'t. George demands that Elaine give them odds, $150 against the $100 from each of her fellow bettors. One question is how they will monitor each other and Jerry suggests since they\'re all old friends they can all remain in the ""confines of the Honor System"".Each of the ""contestants"" are suddenly surrounded and tortured by erotic incidents and fantasies: Jerry has been dating a woman named Marla who is a virgin. Across the street from Jerry\'s apartment lives an attractive woman who frequently walks around nude with the curtains open, drawing the attention of both Kramer and Jerry. When George visits the hospital, he discovers that his mother is sharing a room with a beautiful female patient who gets sponge baths from an equally beautiful female nurse. Finally, Elaine finds out that her longtime heartthrob, John F. Kennedy Jr, is a member of her health club and she stands a chance of dating him.All four friends find it difficult to sleep and become very testy with each other. Kramer is the first to bow out of the contest when, seeing the naked woman across the street, he gives in to temptation, disappears for a few short minutes and returns, slapping his share of the wager down on Jerry\'s countertop. The next to fall is Elaine, who cannot resist fantasizing about JFK Jr. Both Jerry and George vow to stick it out. One night, while making out heavily with Marla, Marla tells Jerry that she\'s ready to lose her virginity to Jerry. Jerry is heavily relieved and tells Marla about the contest, who is suddenly offended and storms out. Meanwhile, Elaine has spoken to Kennedy and tells him to meet her in front of Jerry\'s apartment building. Elaine meets Marla on the street; Marla tells Elaine that she and Jerry are ""horrible"" people and she never wants to see them again. Elaine is puzzled and goes upstairs to Jerry\'s place. Jerry explains what happened with Marla.George arrives a few minutes later and is excited to tell Jerry and Elaine that he\'d just met Kennedy on the street. Elaine asks if Kennedy is still downstairs and George tells her he\'d found Marla there, still upset, and invited her to go with him. Elaine is devastated. Suddenly, Jerry reports that Kramer is across the street with the naked woman.The episode ends with the gang asleep; Kramer is in bed with the naked woman, Elaine is fast asleep, as are Jerry and George.']","['masturbation', 'sexy woman', 'female masturbation', 'british woman', 'male masturbation', 'virgin', 'female virgin', 'singing', 'new york city', 'contest', 'friendship', 'rivalry', 'stand up comedian', 'reference to glamour magazine', 'mother son relationship', 'apartment', 'restaurant', 'watching tv', 'watching through a window', 'episode title spoken by character', 'female nudity', 'nudity', 'sponge bath', 'caught masturbating', 'kiss', 'reference to john f. kennedy jr.', 'passionate kiss', 'tic tacs', ""can't sleep"", 'aerobics class', 'shadow', 'betting', 'pinkie finger', 'impersonation', 'self discipline']"
4,12,"November 25, 1992",Larry Charles,Tom Cherones,S04E12,tt0697647,The Airport,11,23.0,4386,8.9,Jerry and Elaine fly back to New York. Jerry travels on first class while Elaine on coach. George and Kramer run into trouble while trying to arrive on time to pick up Jerry and Elaine at the airport.,"['Jerry and Elaine are on their way back to New York but learn their original flight has been canceled. As a result, Jerry ends up in first class and Elaine in coach. While Jerry has a wonderful flight with food, champagne and a beautiful blond model as a seat mate, Elaine suffers through the flight from hell. Back in New York, George and Kramer are supposed to meet Jerry and Elaine but the change in flight - and then a change in airport - has them running all over the place. More mayhem ensues when Kramer thinks he recognizes someone from his past.—garykmcd', ""Jerry and Elaine are returning from one of Jerry's gigs in Saint Louis. George is supposed to pick them up at Kennedy airport. The two are forced to switch to a different flight, one that arrives at Laguardia. Elaine suffers a series of degradations in the coach section of the airplane, while Jerry is pampered in first class, and enjoys the company of a sexy model. George and Kramer dash from airport to airport to meet the flight, which is eventually re-routed back to Kennedy.—Anonymous""]","['commercial air travel', 'baggage claim', 'cookie', 'begging', 'airplane restroom', 'holding breath', 'gardenia', 'lilac', 'smelly restroom', 'slippers', 'airport pickup', 'time magazine', 'flying first class', 'sitting in wrong seat', 'rental car', 'twin towers']"
4,13,"December 16, 1992",Larry Charles,Tom Cherones,S04E13,tt0697752,The Pick,12,23.0,3639,8.5,"George has decided he's made a terrible mistake in breaking up with Susan. He moans and groans and is generally driving everybody crazy. Against everyone's advice he decides to tell her he made a mistake . No sooner are they back together than he decides he's the one who made the mistake. Elaine decides to put her picture on her Christmas cards and Kramer agrees to be the photographer. Only problem is that she exposes just a little too much of herself. Jerry meanwhile is dating the model he recently met on a flight and things seem to be going nicely....until she sees him picking his nose, or so she thinks at any rate.—garykmcd","['George lobbies to get Susan back, only to regret the success of his efforts. Tia (the model Jerry met in ""The Airport"") dumps Jerry after she sees what appears to be Jerry picking his nose while driving. Elaine decides to send out Christmas cards with her picture on them, and accidentally chooses a revealing shot.—Anonymous']","['christmas', 'christmas episode', 'man wears underwear', 'tighty whities', 'christmas card', 'scratching nose', 'stuck zipper', 'bare chested male', 'fashion model', 'nose picking', 'nipple slip']"
4,14,"January 6, 1993","Steve Skrovan, Bill Masters, Jon Hayman",Tom Cherones,S04E14,tt0697735,The Movie,13,23.0,3480,8.1,"Jerry does a set at a comedy club, then goes to meet George, Elaine, and Kramer afterward to see a screening of Checkmate. However, a simple miscommunication causes the four to keep missing each other at two different theaters.","[""It's a evening of mix-ups and mayhem when Jerry is supposed to get together with Elaine, Kramer and George to go to the movies. He has two gigs that night and in the process of moving them round, he manages to miss both of them. George is first at the theatre and gets in line not realizing the tickets had to be bought first. By the time he realizes what's going on, the movie is sold out. George, Elaine and Kramer then go to another theater but their attempts to leave Jerry a message only adds to the confusion.—garykmcd"", ""Jerry tries to make two show dates and afterwards go to the movie theater to meet everyone. George gets in the wrong line for tickets. George, Elaine & Kramer decide to go to another theater to see the movie. Kramer waits outside for Jerry but also wants a hot dog. Jerry misses his first show, then goes to movie theater to tell everyone he won't make the movie, but no one is there. Through a comedy of errors, everyone (but Kramer) misses the movie, they were originally going to see.""]","['box office', 'cinema hall', 'concession stand', 'fake movies', 'taxi ride', 'taxi driver', 'comedy club', 'twenty dollar bill', 'popcorn', 'movie theater', 'taxi', 'waiting in line']"
4,15,"January 27, 1993",Peter Mehlman,Tom Cherones,S04E15,tt0697805,The Visa,14,23.0,3264,8.0,"Jerry returns from a two week tour to find that his old friend Babu, whom Jerry drove into bankruptcy by suggesting he change the menu in his restaurant, is working at the café. He's also living down the hall from Jerry, who is shocked to find that Babu is arrested for overstaying his visa. Turns out his visa application got mixed in with Jerry's mail. George meanwhile asks an attractive lawyer, Cheryl, to go out with him. She laughs at everything he says and he tells Jerry to butt out and not be funny. When they hear that Cheryl does immigration law, they ask her to take care of Babu's case. It doesn't go well. Kramer meanwhile returns early from fantasy baseball camp. Kramer it seems tried to brush back Joe Pepitone leading to a bench clearing brawl where Kramer knocked Mickey Mantle unconscious.—garykmcd","['George meets an attractive lawyer, Cheryl, who is impressed by his sense of humor. George attempts to keep Elaine and Jerry from meeting Cheryl, believing that Jerry\'s sense of humor will eclipse him. Babu Bhatt, the former restaurant owner whom Jerry helped drive out of business in ""The Cafe"" (Season 3), has trouble with the INS because Babu\'s visa renewal was accidentally delivered to Jerry.—Anonymous', ""While at their usual restaurant, George meets a Chinese woman who finds him funny. After she leaves, Jerry and Elaine show up, and George regales them about the woman he met. The two express interest in meeting her, but George is afraid that the woman will think Elaine and Jerry are funnier than George.Also at the restaurant, Jerry sees Babu Bhatt, who Jerry accidentally ended running out of business when he encouraged Babu to make his restaurant all-Pakistani.Jerry and Elaine then go to attend an Auto Show, but instead end up at the same restaurant as George and his date, named Cheryl. However, as they talk, Elaine soon finds out that Cheryl is the cousin of a delivery boy who is suing her. George later confides to Jerry to not be so funny, and Jerry then carries on the rest of the evening in a rather dour mood.After the dinner, Elaine and Cheryl manage to convince Cheryl's cousin Ping to drop his lawsuit. When Elaine goes to tell Jerry the good news and drop off his mail that she had been collecting while he was away, they hear Babu being arrested and taken away by immigration officials. After Jerry finds out that Babu's visa had expired...he finds the missing visa application in his (Jerry's) collected mail while he was out.Jerry asks George to convince Cheryl to help them get Babu out of his immigration problem, while he and Elaine go to tell Babu about the visa application getting accidentally put in Jerry's mailbox.When George meets with Cheryl again, she claims that she actually finds herself moreso attracted to Jerry's 'dark and disturbed' demeanor. George then explains that that was an act Jerry put on at George's insistence, with George hoping to make it sound like he is the dark and disturbed one. This just causes Cheryl to walk away.In the end, Cheryl does not help Babu, who ends up deported back to Pakistan. Cheryl's cousin Ping even resumes his lawsuit against Elaine, with Cheryl doubling the damages asked for in the suit.The show ends in Pakistan, with Babu telling what happened to him to another man, before vowing to return to America to exact vengeance on Jerry one day.""]","['wagging finger', 'deportation', 'lawsuit', 'american flag', 'reference to joe pepitone', 'reference to mickey mantle']"
4,16,"February 4, 1993","Larry David, Jerry Seinfeld",Tom Cherones,S04E16,tt0697775,The Shoes,15,22.0,3427,8.1,"Elaine can't seem to figure out why her shoes are a subject of conversation. Jerry and George pitch their pilot to NBC, but the deal is nearly jinxed when George takes a peek at the cleavage of the NBC president's daughter.","[""Jerry is astounded when Kramer tells him he's managed to kiss a girl Jerry dated several times but only ever got a handshake from. The woman is fascinated with Elaine's expensive shoes which drives Elaine crazy. Jerry and George meanwhile are trying to finalize the script for their new sitcom and have a meeting with Russell from NBC. Everything falls apart after Russell catches George staring at his 15 year-old daughter's cleavage. It's now up to the buxom Elaine Benes to come to their rescue.—garykmcd""]","['downblouse', 'cleavage', 'vomiting', 'restaurant kitchen', 'father daughter relationship']"
4,17,"February 11, 1993",Larry Charles,Tom Cherones,S04E17,tt0697745,The Outing,16,22.0,5912,9.4,A prank by Elaine leads a newspaper journalist to think that Jerry and George are gay.,"['A woman is eavesdropping on the conversation that Elaine has with Jerry and George at the coffee shop. Elaine decides to give the woman the impression that Jerry and George are a homosexual couple. Unfortunately that woman is a reporter from NYU who is doing an interview with Jerry for the school newspaper. She goes to Jerry\'s apartment and the suspicions are confirmed when Jerry and George get in a fight over a piece of fruit. She publishes an article using the angle that Jerry and George are a homosexual couple. Things get even worse when Jerry\'s birthday gifts don\'t help his case any when Kramer gives Jerry a faulty two-line phone and George gets Jerry tickets to the musical ""Guys And Dolls"". George doesn\'t help his case any when he uses the homosexual angle of the article to get out of a bad relationship and his mother freaks out and is admitted to the hospital. Not that there\'s anything wrong with that.—halo1k', ""When Elaine notices that two young women in the next booth are eavesdropping she decides to have a bit of fun and tells George and Jerry that they should come out and tell everyone they are a couple. They play along but unbeknownst to anyone, one of the women is a student journalist from NYU who later interviews Jerry. When he finally makes the connection, he tries to convince her that he and George are not homosexual - not that there's anything wrong with that. - but the more he tries, the more he convinces her otherwise. The story goes viral and George decides to put their new found notoriety to use in his own relationship."", ""George finds himself in a tight spot when his girlfriend confides to him that she'd rather die than not be in a relationship with her. George tries to convince her otherwise, but she refuses to break up with him.George relays this to Jerry and Elaine at their usual hangout. Seeing a girl in a nearby booth eavesdropping on them, Elaine and George decide to play a joke on her, claiming that George and Jerry are in a homosexual relationship.Later on that day, a reporter for NYU stops by Jerry's apartment while George is there. As she interviews Jerry, she takes notices of George and Jerry's banter, asking some questions that sound quizzical to Jerry...until he realizes she was the girl who was eavesdropping on them in the cafe! Jerry and George attempt to convince her that they were playing a joke, but she leaves unwilling to believe them.Jerry tells what happened to Elaine, who agrees to meet with the student. As they talk, Kramer arrives with Jerry's Birthday present: a two-line phone! Jerry tries out the phone, and ends up getting a call from the NYU student, who claims she is not going to run the story about Jerry from the homosexual relationship angle. Just then, George calls, and Jerry takes the call, joking to him that 'they fooled the reporter into thinking they are heterosexual.' However, when Jerry checks back on the other line, the reporter is no longer there, and George tells Jerry he heard him on the other line!Eventually, the article comes out with the homosexual relationship angle, causing a major uproar from both Jerry's and George's parents. George is beside himself what to do about this, but suddenly finds a silver lining in the story: if his girlfriend Allison reads the article, she may break up with him!George shows Allison the article, but she refuses to believe it, and wants to hear from Jerry that he and George are really a couple. At her insistence, George takes her to Jerry's apartment, only to find him making out with the NYU reporter. George pretends to be upset, causing the reporter to leave. Hoping to get out of the situation, George tries one last time to push Allison away, claiming he is a porn star named Buck Naked...however, this entices her more than turns her away.""]","['eavesdropping', 'kiss', 'birthday present', 'mistaken for gay', 'pay phone']"
4,18,"February 18, 1993",Bruce Kirschbaum,Tom Cherones,S04E18,tt0697742,The Old Man,17,22.0,3444,8.0,"Elaine gets the gang to volunteer visiting the elderly, each ""adopting"" an old person. She gets freaked out by hers, George gets fired by his guy, and Jerry loses his. Kramer and Newman scheme to sell records to a vintage music store and steal the records from Jerry's old guy.—halo1k","[""After hearing that Elaine has volunteered to help out with the elderly, George and Jerry decide that it sounds like fun and volunteer as well. None of them cope very well. Jerry's charge is about as crotchety as can be and doesn't want him around. George simply can't relate to the old man he's been assigned. Elaine can't quite with her old woman's physical deformity. George and Newman meanwhile decide to try and make money by selling old record albums - those that belong to others.—garykmcd""]","['volunteer', 'dentures', 'goiter', 'record album', 'mineral oil', 'taxi', 'kicked in the butt', 'biting someone', 'partnership']"
4,19,"February 25, 1993",Peter Mehlman,Tom Cherones,S04E19,tt0697711,The Implant,18,22.0,3678,8.6,"Elaine is adamant that the woman Jerry likes has implants. But when Elaine meets the woman in the sauna and trips and lands on her breasts, she isn't sure if they are implants after all...","[""Jerry can't help but wonder if his gorgeous new girlfriend Sidra's breasts are real or implants. Elaine tells him she's sure they're fake and he decides not to see her again, then an encounter in the sauna leads her to think otherwise. Meanwhile, George must attend an out-of-town funeral and does his best to get a discount on the airfare, then at the wake a mourner catches him double-dipping a chip and accosts him.—garykmcd"", ""Jerry is dating a woman named Sidra at a local health club. However, Elaine, who also is a member of the club, insists that Sidra has had breast implants. Jerry refuses to believe this, but after going into the steam room with Sidra, Elaine is sure of it. This revelation from Elaine causes him to then break up with her.After this, Elaine has a mishap in the steam room with Sidra, and accidentally ends up touching her breasts. After doing so, Elaine tells Jerry that she may have made a mistake, and that Sidra's breasts may be natural.Meanwhile, George finds himself in a precarious position when his Girlfriend's Aunt dies. George wants to be seen as a caring boyfriend, but balks at the price of a plane ticket. It is then that Kramer explains a way to work around this: if George accompanies his girlfriend to the funeral and can get a copy of the death certificate, he can save 50% off on his ticket.George goes with his girlfriend, but is unable to get a copy of the certificate. He attempts to use a photo of him next to the coffin, but this doesn't work.Meanwhile, Jerry has attempted to reconcile with Sidra, but when Elaine drops by, Sidra leaves, believing that Jerry intentionally had Elaine intentionally touch her breasts in the steam room.""]","['man wrapped in a towel', 'woman wrapped in a towel', 'sauna', 'wake', 'tripping and falling', 'handedness', 'death certificate', 'reference to salman rushdie', 'sweating', 'bare chested male']"
4,20,"March 18, 1993",Andy Robin,Tom Cherones,S04E20,tt0697715,The Junior Mint,19,22.0,4080,8.7,"Elaine decides to visit her former boyfriend, who is in the hospital for a serious operation; Kramer and Jerry have an accident with a Junior Mint; Jerry had a date with a woman whose name rhymes with a female body part.","[""Elaine's ex-boyfriend is recovering in the hospital and has surgery. The gang goes to visit. Kramer gets the idea to paint his apartment to simulate the feel of a ski lodge. While at the hospital, Kramer's concern about the operation gets him and Jerry in to watch. But when Kramer sneaks in candy and forces it on Jerry, Jerry starts a chain reaction that causes the Junior Mints to land in Elaine's ex-boyfriend. Jerry thinks he may have killed the guy while George, who learns that he has recently come into some money, decides to invest in the ex-boyfriend's artwork.—halo1k"", ""A old friend of Elaine's is in hospital to have his spleen removed. She's amazed to see that the once overweight artist has lost a great deal of weight and takes an interest in him once again. After Kramer raises some doubts about the operation, the doctor invites him to observe from the viewing gallery. Jerry goes along but there's a slight problem with a mint that that goes flying into the operating theater below. When they hear that the patient might die, Jerry panics but Kramer tells him to hang in there. George's reaction to the news that the artist may die is to buy several thousand dollars of his paintings in the hope the price might go up.—garykmcd""]","['reference to home alone', 'reference to home alone 2', 'operating theater', 'kiss on the cheek', 'massage', 'watching video', 'yo yo', 'crying man']"
4,21,"April 15, 1993","Larry David, Peter Mehlman",Tom Cherones,S04E21,tt0697778,The Smelly Car,20,22.0,3478,8.4,"After dinner, Jerry gets his car back from the valet. He and Elaine get in the car and realize that the valet has really bad B.O.. Jerry goes to great lengths to get the smell out of his car while Elaine goes to great lengths to get the smell out of her hair. Jerry soon realizes that the smell isn't just a mere odor, but an entity unto itself, and finally decides that he has to get rid of his car. Meanwhile, George gets reacquainted with Susan and discovers that he drove her to lesbianism, and Kramer dates Susan's girlfriend.—halo1k","[""Jerry is appalled at the smell in his car. He thinks it's the restaurant valet parking that's responsible but no matter what he tries, he can't get rid of it. Worst of all, the smell has attached itself to him and to Elaine who rode in the car with him. Now others are starting to make comments on their personal hygiene. George runs into into his old girlfriend Susan in the video store. She holding hands with her new girlfriend. It immediately makes her more attractive to him though he's convinced that he's driven her to becoming a lesbian. Kramer however seems to have little trouble getting it on with the girlfriend however.—garykmcd"", ""Jerry and Elaine go out to dinner at a restaurant with valet parking. However, upon leaving, they find that the valet's B.O. (aka Body Odor) has stunk up the car! This soon causes further problems when the odor still will not leave Jerry's car, and also seems to have clung to Elaine's hair!George meanwhile, has found out that his former girlfriend Susan has now become part of a Lesbian relationship. This new piece of information soon makes George more attracted to her.Jerry has his car cleaned, and Elaine goes to a salon to have her hair washed. However, both treatments do nothing to remove the odor.Jerry even attempts to sell the car, but after being inside, the dealer he attempts to sell it to refuses to take it.""]","['valet', 'lesbian', 'video store', 'valet parking', 'tomato sauce', 'used car lot', 'stolen video', 'whiff', 'rewind charge', 'rochelle rochelle', 'kiss', 'based on urban legend', 'bad smell', 'body odor']"
4,22,"May 13, 1993",Larry David,Tom Cherones,S04E22,tt0697708,The Handicap Spot,21,22.0,3323,8.3,"At Kramer's insistence, George parks his Dad's car in a handicap spot. After a woman is injured because of it, George becomes his Dad's butler while Kramer tries to help the woman.","[""The gang goes out shopping for a joint gift for a couple who are about to get married. George is using his father's car and has trouble finding a parking. He reluctantly agrees to park in a handicapped spot that has serious repercussions when a disabled person is injured. An angry crowd takes care of the car as well. George and Kramer decide to do the right thing for injured person by buying her a new wheelchair - but don't want to spend too much money. They bought a large screen TV for their friends but are upset when the couple call off the wedding and the woman gives away all of their gifts to Charity.—garykmcd""]","['arrest', 'wheelchair', 'defective brakes', 'used wheelchair', 'the drake', 'big screen television', 'playing mahjong', 'car vandalized', 'car', 'jiffy pop', 'butler', 'award', 'scene reshot for syndication']"
4,23,"May 20, 1993",Larry David,Tom Cherones,S04E23,tt0697754,The Pilot,22,45.0,3688,8.6,"""Jerry,"" the television pilot, gets cast and finally airs. Elaine tries to discourage Dalrymple's romantic pursuit.","['In the fourth season finale, Jerry and George\'s pilot is finally a go. But before the taping, Elaine desperately tries to avoid NBC president Russell Dalrymple after an awkward date, while Kramer comes face to face with his TV show counterpart. Before the pilot airs, Crazy Joe Davola (see episode ""The Opera"") shows up to put a damper in the gang\'s plans. As the pilot is finally finished and ready for airtime, the executives at NBC aren\'t impressed with the result.—halo1k', ""The pilot episode of Jerry and George's new sitcom is now ready to be taped and they're down to casting the various roles. The two creators of the show don't quite see eye to eye however on the types that should be cast. For his part, Kramer wants to portray himself. They also find it odd that Russell Dalrymple hasn't come to the casting interviews. Perhaps Elaine's refusal to go on a second date with him has something to do with that. Meanwhile, George is also worried about a discoloration on his lip.—garykmcd""]","['self referential', 'big breasts', 'breasts', 'breast', 'medical test result', 'meta story', 'two part episode', 'tv pilot', 'telephone call', 'new boss', 'misunderstanding', 'pilot', 'reference to russ meyer', 'ocean', 'raft', 'watching tv', 'returning character', 'john wilkes booth', 'stolen raisins', 'investigation', 'discrimination', 'mugged', 'large breasted waitress', 'bathroom emergency', 'white spot on lip', 'discolored skin', 'therapist', 'flashback', 'restaurant', 'fake laugh', 'enema', 'wig', 'disguise', 'obsession', 'returning character killed off', 'greenpeace', 'enema bag', 'constipation']"
5,1,"September 16, 1993","Lawrence H. Levy, Buck Dancer (Larry David pseudonym)",Tom Cherones,S05E01,tt0697728,The Mango,1,23.0,3665,8.6,Elaine makes a startling confession.,"['Jerry gets a shocking revelation when Elaine reveals that she faked every orgasm while they were dating. Jerry then pleads with Elaine to get a second chance in bed. Meanwhile, Kramer turns George onto the erotic pleasures of fruit, specifically the mango.—halo1k', ""Jerry is taken aback when Elaine casually mentions that she faked all of her orgasms during their relationship. He insists that she give him another chance to prove himself. Elaine's admission has a strange effect on George who is now convinced that his new girlfriend Karen is also faking it which makes him unable to perform. Kramer meanwhile gets a piece of bad fruit from the local fruit store but when he complains he finds himself banned from the premises. Jerry finds himself banned as well when he tries to buy fruit for Kramer. It's left to George to do the buying and the mango he gets has an interesting effect on him.—garykmcd"", 'Jerry finds out that Elaine was faking during their whole relationship which causes George to think he has impotence. Kramer solves the problem with fruit. During a discussion of the old days when Jerry and Elaine were lovers, Elaine inadvertantly admits that she ""faked every orgasm"" she had with Jerry. He is stunned and mentions this to George. And being the stalwart, independent, make-up-his-own-mind kind of guy he is, George immediately assumes that he is impotent - and proves it by falling victim to his own anxiety.\nMenwhile, Kramer takes offense at his regular fruit vendor selling him a peach that\'s an abomination. He returns the offending piece of fruit, insults the market owner, and is promptly banned for life from the fruit stand. He is crushed!\nKramer begs Jerry to shop the fruit stand for him. But in filling Kramer\'s order, Jerry arouses the suspicions of the fruit market owner who knows his customers\' habits by heart - and who then bans Jerry for life, also. And so the two of them beg George (""C\'mon, we gotta have fresh fruit!"") to shop for them. He does, successfully, but is still terribly upset about his impotence. Kramer distracts him by insisting that he eat a piece of fresh mango. George does, just to shut Kramer up. But the ""awakening"" in his taste buds leads to other things ""reawakening,"" and his potence problem becomes a thing of the past.\nBUT - George is still George - and instantly messes things up again with a girlfriend.']","['plantain', 'mango', 'fruit store', 'sex to save the friendship', 'b 12', 'taste explosion', 'banned from store', 'unable to perform sexually', 'restaurant', 'moaning', 'risotto', 'fake orgasm']"
5,2,"September 23, 1993",Larry David,Tom Cherones,S05E02,tt0697762,The Puffy Shirt,2,23.0,4358,8.9,Kramer and his soft-spoken friend Leslie start a new line of clothing and Jerry accidentally agrees to wear it on the Today show.,"[""Kramer's new girlfriend is what Jerry calls a low-talker, someone whose soft voice makes her unintelligible. She's a clothing designer and her latest idea is a puffy, pirate-like shirt. What Jerry doesn't realize is that he agreed to wear the puffy shirt on the Today Show. George has moved back in with his parents and his mother is driving him crazy about getting a job. A chance encounter leads him to become a hand model. Suddenly his hands are his main concern until he has an unfortunate encounter in Jerry's dressing room.—garykmcd""]","['homelessness', 'adult child lives with parents', 'character appears on a tv talk show', 'character appears on tv', 'real tv show shown in fictional situation', 'real talk show shown in fictional situation', 'clothing designer', 'hand model', 'puffy shirt', 'unintelligible', 'reference to the contest', 'argument', 'bologna sandwich', 'whisper', 'burned', 'clothes iron', 'bandaged hand', 'photo session', 'cigar smoking', 'joy buzzer', 'silver dollar', 'double date', 'one upmanship', 'steam iron', 'mumbler', 'pirate costume', 'classic episode']"
5,3,"September 30, 1993","Tom Gammill, Max Pross",Tom Cherones,S05E03,tt0697703,The Glasses,3,23.0,3446,8.4,George loses his glasses at the health club.,"['George loses his glasses at the health club, but his plans to get a new pair using Kramer\'s ""discount"" backfires. Meanwhile, Jerry buys a black-market air conditioner - the Commando 8, and Elaine gets bit by a dog at the optometrist\'s office.—halo1k', ""Life gets complicated for George and those around him when someone steals his glasses at his health. He wears his prescription swimming goggles but decides to take up Kramer's suggestion of going to an optometrist where he could get a discount just by mentioning Kramer's name. It doesn't quite work out that way and the glasses he chooses aren't quite suitable. Elaine meanwhile gets bitten by a dog but has trouble communicating with the doctor about whether she should get a shot. Kramer gets a discounted air conditioner for Jerry after his new girlfriend finds the apartment too warm.—garykmcd"", ""George gets new glasses, and in the process claims to see Jerry's cousin Jeffery kissing Jerry's girlfriend. Jerry get a new air conditioner, Elaine gets bit by a dog.""]","['air conditioner', 'goggles', 'misplaced glasses', 'concert ticket', 'veternarian collar', 'blind man', 'bare chested male', 'falling object', 'rabies vaccination', 'pretzel', 'baby ruth', 'reference to howdy doody', 'cynophobia', 'mercury dime', 'animal bite', 'rottweiler', 'looking out a window']"
5,4,"October 7, 1993","Larry David, Jerry Seinfeld",Tom Cherones,S05E04,tt0697779,The Sniffing Accountant,4,23.0,3336,8.1,The gang gets suspicious of their accountant.,"[""Jerry, Kramer and Newman have reason to suspect that their accountant, Barry Profit, is taking their money and using it to buy illegal narcotics. The three organize a stakeout to confirm their suspicions, while Elaine, who had a past relationship with Barry, denies it. George gets an interview at a company that manufactures women's underwear.—halo1k"", ""Jerry and Kramer are suspicious when their accountant and investment advisor, Barry, seems to be sniffing a lot leading them to believe he may have a cocaine habit. Elaine doesn't believe it for one minute but Jerry, Kramer and Newman follow him around and convince themselves they're right. George is still unemployed and living with his increasingly frustrated parents. His father Frank gets him a job interview to be a bra salesman. Elaine meanwhile gets upset upset with her new boyfriend over his limited use of the exclamation point.—garykmcd""]","['stakeout', 'brassiere', 'lighting a cigarette', 'polaroid camera', 'dental floss', 'bankruptcy', 'pizza delivery', 'chugging beer', 'ketchup']"
